timestamp_utc,score_set,instance_types,level,region,az_id,score
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,region,ap-south-1,,3
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,region,ap-east-1,,1
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,region,ap-southeast-2,,1
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,region,ap-northeast-2,,3
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,region,us-east-2,,1
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,region,ap-southeast-3,,3
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,region,us-east-1,,3
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,region,us-west-2,,2
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,region,ap-northeast-1,,1
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,az,us-east-2,use2-az2,1
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,az,ap-southeast-3,apse3-az3,3
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,az,us-east-1,use1-az2,1
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,az,us-east-1,use1-az6,1
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,az,ap-east-1,ape1-az1,1
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,az,ap-south-1,aps1-az3,3
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,az,us-west-2,usw2-az3,1
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,az,ap-northeast-2,apne2-az1,3
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,az,ap-northeast-2,apne2-az3,3
2026-08-26T21:31:26Z,g5.xlarge,g5.xlarge,az,ap-northeast-2,apne2-az4,3
2026-08-26T21:31:26Z,g-xlarge-trio,g5.xlarge|g4dn.xlarge|g6.xlarge,region,ap-east-1,,3
